threshold,precision,recall,f1,tp,fp,tn,fn
0.46464929859719445,0.33620689655172414,0.6964285714285714,0.45348837209302323,39,77,3053,17
0.46563126252505016,0.33043478260869563,0.6785714285714286,0.4444444444444444,38,77,3053,18
0.46661322645290587,0.32456140350877194,0.6607142857142857,0.43529411764705883,37,77,3053,19
0.4675951903807616,0.3185840707964602,0.6428571428571429,0.4260355029585799,36,77,3053,20
0.4685771543086173,0.3185840707964602,0.6428571428571429,0.4260355029585799,36,77,3053,20
0.469559118236473,0.3185840707964602,0.6428571428571429,0.4260355029585799,36,77,3053,20
0.4705410821643287,0.32142857142857145,0.6428571428571429,0.42857142857142855,36,76,3054,20
0.47152304609218443,0.32142857142857145,0.6428571428571429,0.42857142857142855,36,76,3054,20
0.47250501002004014,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.47348697394789585,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.47446893787575156,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.4754509018036073,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.476432865731463,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.4774148296593187,0.32432432432432434,0.6428571428571429,0.4311377245508982,36,75,3055,20
0.4783967935871744,0.3181818181818182,0.625,0.42168674698795183,35,75,3055,21
0.4793787575150301,0.3211009174311927,0.625,0.42424242424242425,35,74,3056,21
0.48036072144288583,0.32407407407407407,0.625,0.4268292682926829,35,73,3057,21
0.48134268537074154,0.32407407407407407,0.625,0.4268292682926829,35,73,3057,21
0.48232464929859725,0.3177570093457944,0.6071428571428571,0.4171779141104294,34,73,3057,22
0.48330661322645296,0.3113207547169811,0.5892857142857143,0.4074074074074074,33,73,3057,23
0.4842885771543087,0.3076923076923077,0.5714285714285714,0.4,32,72,3058,24
0.4852705410821644,0.3076923076923077,0.5714285714285714,0.4,32,72,3058,24
0.4862525050100201,0.30392156862745096,0.5535714285714286,0.3924050632911392,31,71,3059,25
0.4872344689378758,0.3069306930693069,0.5535714285714286,0.39490445859872614,31,70,3060,25
0.4882164328657315,0.30612244897959184,0.5357142857142857,0.38961038961038963,30,68,3062,26
0.48919839679358723,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
0.49018036072144294,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
0.49116232464929865,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
0.49214428857715437,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
0.4931262525050101,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
0.4941082164328658,0.3125,0.5357142857142857,0.39473684210526316,30,66,3064,26
